"","year","state","month","fires","date"
"408",2012,"ALAGOAS",1,36,2012-01-01
"409",2012,"ALAGOAS",2,41,2012-02-01
"410",2012,"ALAGOAS",3,44,2012-03-01
"411",2012,"ALAGOAS",4,18,2012-04-01
"412",2012,"ALAGOAS",5,21,2012-05-01
"413",2012,"ALAGOAS",6,4,2012-06-01
"414",2012,"ALAGOAS",7,0,2012-07-01
"415",2012,"ALAGOAS",8,0,2012-08-01
"416",2012,"ALAGOAS",9,6,2012-09-01
"417",2012,"ALAGOAS",10,28,2012-10-01
"418",2012,"ALAGOAS",11,95,2012-11-01
"419",2012,"ALAGOAS",12,59,2012-12-01
"420",2013,"ALAGOAS",1,49,2013-01-01
"421",2013,"ALAGOAS",2,19,2013-02-01
"422",2013,"ALAGOAS",3,31,2013-03-01
"423",2013,"ALAGOAS",4,25,2013-04-01
"424",2013,"ALAGOAS",5,2,2013-05-01
"425",2013,"ALAGOAS",6,1,2013-06-01
"426",2013,"ALAGOAS",7,0,2013-07-01
"427",2013,"ALAGOAS",8,0,2013-08-01
"428",2013,"ALAGOAS",9,4,2013-09-01
"429",2013,"ALAGOAS",10,25,2013-10-01
"430",2013,"ALAGOAS",11,10,2013-11-01
"431",2013,"ALAGOAS",12,42,2013-12-01
"432",2014,"ALAGOAS",1,54,2014-01-01
"433",2014,"ALAGOAS",2,29,2014-02-01
"434",2014,"ALAGOAS",3,28,2014-03-01
"435",2014,"ALAGOAS",4,16,2014-04-01
"436",2014,"ALAGOAS",5,1,2014-05-01
"437",2014,"ALAGOAS",6,2,2014-06-01
"438",2014,"ALAGOAS",7,1,2014-07-01
"439",2014,"ALAGOAS",8,3,2014-08-01
"440",2014,"ALAGOAS",9,11,2014-09-01
"441",2014,"ALAGOAS",10,7,2014-10-01
"442",2014,"ALAGOAS",11,14,2014-11-01
"443",2014,"ALAGOAS",12,24,2014-12-01
"444",2015,"ALAGOAS",1,81,2015-01-01
"445",2015,"ALAGOAS",2,46,2015-02-01
"446",2015,"ALAGOAS",3,32,2015-03-01
"447",2015,"ALAGOAS",4,63,2015-04-01
"448",2015,"ALAGOAS",5,18,2015-05-01
"449",2015,"ALAGOAS",6,2,2015-06-01
"450",2015,"ALAGOAS",7,0,2015-07-01
"451",2015,"ALAGOAS",8,3,2015-08-01
"452",2015,"ALAGOAS",9,7,2015-09-01
"453",2015,"ALAGOAS",10,40,2015-10-01
"454",2015,"ALAGOAS",11,162,2015-11-01
"455",2015,"ALAGOAS",12,136,2015-12-01
"456",2016,"ALAGOAS",1,24,2016-01-01
"457",2016,"ALAGOAS",2,14,2016-02-01
"458",2016,"ALAGOAS",3,9,2016-03-01
"459",2016,"ALAGOAS",4,13,2016-04-01
"460",2016,"ALAGOAS",5,4,2016-05-01
"461",2016,"ALAGOAS",6,5,2016-06-01
"462",2016,"ALAGOAS",7,3,2016-07-01
"463",2016,"ALAGOAS",8,5,2016-08-01
"464",2016,"ALAGOAS",9,18,2016-09-01
"465",2016,"ALAGOAS",10,74,2016-10-01
"466",2016,"ALAGOAS",11,76,2016-11-01
"467",2016,"ALAGOAS",12,155,2016-12-01
"468",2017,"ALAGOAS",1,38,2017-01-01
"469",2017,"ALAGOAS",1,38,2017-01-01
"470",2017,"ALAGOAS",2,21,2017-02-01
"471",2017,"ALAGOAS",3,23,2017-03-01
"472",2017,"ALAGOAS",4,7,2017-04-01
"473",2017,"ALAGOAS",5,1,2017-05-01
"474",2017,"ALAGOAS",6,2,2017-06-01
"475",2017,"ALAGOAS",7,0,2017-07-01
"476",2017,"ALAGOAS",8,1,2017-08-01
"477",2017,"ALAGOAS",9,4,2017-09-01
"478",2017,"ALAGOAS",10,14,2017-10-01
"479",2017,"ALAGOAS",11,10,2017-11-01
"480",1998,"AMAPÁ",1,0,1998-01-01
"481",1998,"AMAPÁ",2,0,1998-02-01
"482",1998,"AMAPÁ",3,0,1998-03-01
"483",1998,"AMAPÁ",4,0,1998-04-01
"484",1998,"AMAPÁ",5,0,1998-05-01
"485",1998,"AMAPÁ",6,0,1998-06-01
"486",1998,"AMAPÁ",7,0,1998-07-01
"487",1998,"AMAPÁ",8,1,1998-08-01
"488",1998,"AMAPÁ",9,20,1998-09-01
"489",1998,"AMAPÁ",10,42,1998-10-01
"490",1998,"AMAPÁ",11,131,1998-11-01
"491",1998,"AMAPÁ",12,84,1998-12-01
"492",1999,"AMAPÁ",1,0,1999-01-01
"493",1999,"AMAPÁ",2,1,1999-02-01
"494",1999,"AMAPÁ",3,2,1999-03-01
"495",1999,"AMAPÁ",4,0,1999-04-01
"496",1999,"AMAPÁ",5,0,1999-05-01
